file	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
benchmarks/diversity_15865_0.tsv	9921.4984	2:45:21	714.89	6345.00	709.37	711.05	561.00	8943.02	1051.11
benchmarks/diversity_15865_1.tsv	17128.2732	4:45:28	719.01	6345.25	713.49	715.17	565.38	8947.17	1189.72
benchmarks/diversity_15865_2.tsv	10279.3447	2:51:19	717.29	6344.51	711.75	713.44	564.21	8951.74	1194.74
benchmarks/diversity_31731_0.tsv	17682.0874	4:54:42	1211.69	6834.14	1206.17	1207.85	694.83	10829.80	1102.19
benchmarks/diversity_31731_1.tsv	23414.9156	6:30:14	1211.74	6834.00	1206.22	1207.90	688.94	10808.75	1129.32
benchmarks/diversity_31731_2.tsv	24447.3603	6:47:27	1213.71	6834.17	1208.18	1209.86	696.43	10829.78	1214.30
benchmarks/diversity_47596_0.tsv	32005.7833	8:53:25	1706.36	7323.90	1697.96	1701.07	677.29	12671.67	1049.54
benchmarks/diversity_47596_1.tsv	40857.6066	11:20:57	1704.27	7323.80	1698.75	1700.42	819.16	12690.05	1138.55
benchmarks/diversity_47596_2.tsv	32980.4287	9:09:40	1700.37	7323.50	1694.85	1696.53	818.93	12691.68	1045.48
benchmarks/diversity_63462_0.tsv	49320.7398	13:42:00	2196.99	7813.18	2191.47	2193.15	953.53	14560.70	1209.73
benchmarks/diversity_63462_1.tsv	46756.2464	12:59:16	2196.24	7813.29	2190.72	2192.40	933.82	14540.26	1251.22
benchmarks/diversity_63462_2.tsv	58387.5147	16:13:07	2198.45	7813.31	2192.92	2194.60	948.55	14532.25	1120.17
benchmarks/diversity_79328_0.tsv	60278.4197	16:44:38	2687.10	8319.08	2681.56	2683.25	924.34	16409.23	1233.74
benchmarks/diversity_79328_1.tsv	60314.8701	16:45:14	2687.38	8319.08	2681.86	2683.54	1057.04	16405.23	1233.65
benchmarks/diversity_79328_2.tsv	60285.7051	16:44:45	2692.48	8319.07	2686.96	2688.64	1057.22	16413.22	1232.81
